,ID,Act,SMILES,in_set_A,in_set_B,Pair
4,,0,C/C=C/Cn1c(N(C)Cc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,64.0
23,,0,CC(C)n1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,64.0
29,,0,CC1CN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2)CC(C)O1,1,0,63.0
27,,0,CC1CN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCN2CCOCC2)CC(C)O1,0,1,63.0
2,,0,C/C(Cl)=C\Cn1c(N2CCCC2)nc2c1c(=O)[nH]c(=O)n2C,0,1,62.0
36,,0,CCCCCCn1c(SCCCC)nc2c1c(=O)[nH]c(=O)n2C,1,0,62.0
126,,0,Cn1c(=O)c2c(nc(OCc3cccnc3)n2Cc2c(F)cccc2Cl)n(C)c1=O,0,1,61.0
125,,0,Cn1c(=O)c2c(nc(NCc3ccccc3)n2CCCc2ccccc2)n(C)c1=O,1,0,61.0
106,,0,Cn1c(=O)c2c(nc(-n3ccnc3)n2C)n(C)c1=O,0,1,60.0
7,,0,C=CCSc1nc2c(c(=O)n(C)c(=O)n2C)n1CC,1,0,60.0
124,,0,Cn1c(=O)c2c(nc(N3CCOCC3)n2CCc2ccccc2)n(C)c1=O,0,1,59.0
75,,0,CN1CCN(Cc2nc3c(c(=O)[nH]c(=O)n3C)n2CCc2ccccc2)CC1,1,0,59.0
77,,0,COCCCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccccc1C,0,1,58.0
83,,0,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(O)COc2ccccc2C)n1,1,0,58.0
71,,0,CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(Cl)cc1,0,1,57.0
73,,0,CN(C)c1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1,1,0,57.0
10,,0,CC(=O)Cn1c(CN2CC(C)CC(C)C2)nc2c1c(=O)n(C)c(=O)n2C,0,1,56.0
38,,0,CCCCCn1c(CN2CC(C)OC(C)C2)nc2c1c(=O)n(C)c(=O)n2C,1,0,56.0
108,,0,Cn1c(=O)c2c(nc(-n3ccnc3)n2Cc2ccc([N+](=O)[O-])cc2)n(C)c1=O,1,0,55.0
107,,0,Cn1c(=O)c2c(nc(-n3ccnc3)n2Cc2ccc(Cl)cc2Cl)n(C)c1=O,0,1,55.0
57,,0,CCN1CCN(c2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)CC1,0,1,54.0
102,,0,Cn1c(=O)[nH]c(=O)c2c1nc(SCCN1CCOCC1)n2CCCc1ccccc1,1,0,54.0
92,,0,Cc1ccc(Cn2c(Sc3nnc(C)s3)nc3c2c(=O)[nH]c(=O)n3C)cc1,1,0,53.0
94,,0,Cc1cccc(Cn2c(Sc3nc(C)cs3)nc3c2c(=O)[nH]c(=O)n3C)c1,0,1,53.0
82,,0,COCCn1c(Sc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,1,0,52.0
9,,0,C=CCn1c(Sc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,52.0
69,,0,CCOCCn1c(SCc2cccc(C)c2)nc2c1c(=O)[nH]c(=O)n2C,1,0,51.0
66,,0,CCOCCn1c(SCCCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,0,1,51.0
81,,0,COCCn1c(CN2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,50.0
44,,0,CCCCn1c(CN2CCN(c3ccc(F)cc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,50.0
120,,0,Cn1c(=O)c2c(nc(CN3CCOCC3)n2CC(O)CO)n(C)c1=O,0,1,49.0
62,,0,CCOC(=O)Cn1c(CN2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,49.0
99,,0,Cn1c(=O)[nH]c(=O)c2c1nc(CN1CCN(c3ccc(F)cc3)CC1)n2CCc1ccccc1,0,1,48.0
84,,0,Cc1ccc(Cl)cc1N1CCN(Cc2nc3c(c(=O)[nH]c(=O)n3C)n2CCc2ccccc2)CC1,1,0,48.0
48,,0,CCCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CCc1ccccc1,1,0,47.0
18,,0,CC(C)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCc1ccccc1,0,1,47.0
80,,0,COCCn1c(CN(Cc2ccccc2)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,0,1,46.0
51,,0,CCCn1c(CN(Cc2ccccc2)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,1,0,46.0
97,,0,Cc1csc(Sc2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)n1,1,0,45.0
98,,0,Cc1nnc(Sc2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)s1,0,1,45.0
104,,0,Cn1c(=O)[nH]c(=O)c2c1nc(Sc1ncccn1)n2CCCc1ccccc1,1,0,44.0
96,,0,Cc1ccnc(Sc2nc3c(c(=O)[nH]c(=O)n3C)n2CCCc2ccccc2)n1,0,1,44.0
90,,0,Cc1ccc(Cn2c(Sc3nccc(C)n3)nc3c2c(=O)[nH]c(=O)n3C)cc1,0,1,43.0
91,,0,Cc1ccc(Cn2c(Sc3ncccn3)nc3c2c(=O)[nH]c(=O)n3C)cc1,1,0,43.0
70,,0,CCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccccc1,0,1,42.0
103,,0,Cn1c(=O)[nH]c(=O)c2c1nc(SCCO)n2CC(O)COc1ccccc1,1,0,42.0
30,,0,CCC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C,1,0,41.0
22,,0,CC(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1C,0,1,41.0
37,,0,CCCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C,0,1,40.0
32,,0,CCCCCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1C,1,0,40.0
63,,0,CCOCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCCc1ccccc1,1,0,39.0
61,,0,CCOC(=O)CSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCCc1ccccc1,0,1,39.0
127,,0,Cn1c(=O)c2c(nc(SCCN3CCOCC3)n2Cc2ccccc2)n(C)c1=O,1,0,38.0
89,,0,Cc1ccc(Cn2c(SCCN3CCOCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,1,38.0
35,,0,CCCCCCn1c(CN2CCN(C)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,37.0
33,,0,CCCCCCn1c(CN2CCCC(C)C2)nc2c1c(=O)n(C)c(=O)n2C,1,0,37.0
100,,0,Cn1c(=O)[nH]c(=O)c2c1nc(CN1CCN(c3ccccc3F)CC1)n2CC(N)=O,0,1,36.0
21,,0,CC(C)Cn1c(CN2CCN(c3ccccc3F)CC2)nc2c1c(=O)[nH]c(=O)n2C,1,0,36.0
72,,0,CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,0,1,35.0
105,,0,Cn1c(=O)[nH]c(=O)c2c1nc1n2CCCN1CCc1ccccc1,1,0,35.0
40,,0,CCCCCn1c(CN2CCN(Cc3ccccc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,0,1,34.0
65,,0,CCOCCn1c(CN2CCC(Cc3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,1,0,34.0
55,,0,CCN1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2CCc2ccccc2)CC1,1,0,33.0
56,,0,CCN1CCN(Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccccc2Cl)CC1,0,1,33.0
128,,0,Cn1c(OCc2cccnc2)nc2c1c(=O)n(Cc1ccc(Br)cc1)c(=O)n2C,1,0,32.0
129,,0,Cn1c(OCc2cccnc2)nc2c1c(=O)n(Cc1ccccc1)c(=O)n2C,0,1,32.0
52,,0,CCCn1c(CN2CCN(C(=O)c3ccco3)CC2)nc2c1c(=O)n(C)c(=O)n2C,0,1,31.0
